Category,Qoutes,Url
books,"“The person, be it gentleman or lady, who has not pleasure in a good novel, must be intolerably stupid.”",https://quotes.toscrape.com/tag/books/
books,"“Good friends, good books, and a sleepy conscience: this is the ideal life.”",https://quotes.toscrape.com/tag/books/
books,“I have always imagined that Paradise will be a kind of library.”,https://quotes.toscrape.com/tag/books/
books,“You can never get a cup of tea large enough or a book long enough to suit me.”,https://quotes.toscrape.com/tag/books/
books,"“If you only read the books that everyone else is reading, you can only think what everyone else is thinking.”",https://quotes.toscrape.com/tag/books/
books,“There is no friend as loyal as a book.”,https://quotes.toscrape.com/tag/books/
books,"“What really knocks me out is a book that, when you're all done reading it, you wish the author that wrote it was a terrific friend of yours and you could call him up on the phone whenever you felt like it. That doesn't happen much, though.”",https://quotes.toscrape.com/tag/books/
